0.339837275,,,
0.306034306,,,
0.337310428,,,
0.327190184,,,
0.307585685,,,
0.312012986,,,
0.309265823,,,
0.308498261,,,
0.314641264,,,
0.308953483,,,
0.321478086,,,
0.308908251,,,
0.298132646,,,
0.5,0.05,0.5,0.335782972
0.5,0.5,0.05,0.311210382
0.5,0.5,0.5,0.305865334
0.5,0.85,0.5,0.301086964
0.5,0.5,0.85,0.31232441
0.6,0.25,0.3,0.363339596
0.6,0.3,0.25,0.31814479
0.7,0.1,0.25,0.323931271
0.7,0.25,0.1,0.347732673
0.8,0.85,0.95,0.330303322
0.8,0.95,0.85,0.320062755
0.9,0.05,0.05,0.296827606
0.9,0.95,0.95,0.31863949
0.5,0.05,0.5,0.326422251
0.5,0.5,0.05,0.343346011
0.5,0.5,0.5,0.332631025
0.5,0.85,0.5,0.316455648
0.5,0.5,0.85,0.294248157
0.6,0.25,0.3,0.314993604
0.6,0.3,0.25,0.30337265
0.7,0.1,0.25,0.341847393
0.7,0.25,0.1,0.334698866
0.8,0.85,0.95,0.317556043
0.8,0.95,0.85,0.346948646
0.9,0.05,0.05,0.289663819
0.9,0.95,0.95,0.3372522
0.5,0.05,0.5,0.33399775
0.5,0.05,0.5,0.344632355
0.5,0.05,0.5,0.319115003
0.5,0.5,0.05,0.329133172
0.5,0.5,0.5,0.336992303
0.5,0.85,0.5,0.325834645
0.5,0.5,0.85,0.328107472
0.6,0.25,0.3,0.325221174
0.6,0.3,0.25,0.327268752
0.7,0.1,0.25,0.344902415
0.7,0.25,0.1,0.320783377
0.8,0.85,0.95,0.333817178
0.8,0.95,0.85,0.324641218
0.9,0.05,0.05,0.320467278
0.9,0.95,0.95,0.343744604
